DateTime,사용자,세션,신규방문자,페이지뷰
2020-11-09,2901,3012,702,69519
2020-11-10,2804,2825,660,63647
2020-11-11,2712,2710,599,58068
2020-11-12,2696,2702,578,58279
2020-11-13,2306,2318,479,50695
2020-11-14,1781,1752,355,36415
2020-11-15,1623,1562,304,32848
2020-11-16,2465,2452,567,50979
2020-11-17,3305,3297,826,70299
2020-11-18,3155,3200,707,66467
2020-11-19,2867,2932,569,56912
2020-11-20,2762,2864,605,55469
2020-11-21,1467,1447,196,24850
2020-11-22,1303,1118,126,27029
2020-11-23,1610,1458,242,37196
2020-11-24,2935,2917,656,64662
2020-11-25,2825,2730,647,63298
2020-11-26,2688,2581,631,57030
2020-11-27,2262,2208,543,45661
2020-11-28,1767,1656,408,32696
2020-11-29,1465,1253,295,26319
2020-11-30,1257,1111,251,25036
2020-12-01,3232,3187,891,67430
2020-12-02,2528,2443,568,52855
2020-12-03,2380,2303,498,46492
2020-12-04,2426,2398,532,48422
2020-12-05,1961,1933,427,39741
2020-12-06,1685,1573,353,34821
2020-12-07,1453,1356,311,33349
2020-12-08,3264,3233,873,77532
2020-12-09,2892,2818,705,69519
2020-12-10,2842,2782,653,64292
2020-12-11,3021,3006,709,70845
2020-12-12,2351,2370,552,57658
2020-12-13,1717,1648,375,40472
2020-12-14,1815,1740,418,43662
2020-12-15,3639,3607,984,89794
2020-12-16,3175,3102,771,78924
2020-12-17,2942,2879,645,68333
2020-12-18,2914,2877,614,68943
2020-12-19,2575,2588,558,65210
2020-12-20,1909,1898,415,45833
2020-12-21,1857,1791,398,44687
2020-12-22,4293,4291,1157,109170
2020-12-23,4964,4879,1352,123466
2020-12-24,4130,4151,958,97730
2020-12-25,4639,4682,1087,104876
2020-12-26,5117,5201,1338,126817
2020-12-27,1872,1808,361,42456
2020-12-28,1554,1490,277,39082
2020-12-29,2980,3038,703,77322
2020-12-30,2937,2927,699,72843
2020-12-31,2876,2814,643,66544
2021-01-01,2649,2610,549,61067
2021-01-02,2446,2465,528,57719
2021-01-03,1616,1536,305,32672
2021-01-04,2741,2658,627,70617
2021-01-05,2622,2546,606,62725
2021-01-06,2134,2132,460,45885
2021-01-07,2310,2331,555,48447
2021-01-08,1595,1564,316,29287
